UID	cdc15_10	cdc15_30	cdc15_50	cdc15_70	cdc15_80	cdc15_90	cdc15_100	cdc15_110	cdc15_120	cdc15_130	cdc15_140	cdc15_150	cdc15_160	cdc15_170	cdc15_180	cdc15_190	cdc15_200	cdc15_210	cdc15_220	cdc15_230	cdc15_240	cdc15_250	cdc15_270	cdc15_290
YAL001C	-0.123983	0.06974	-0.178225	0.023247	-0.030996	-0.092987	-0.21697	-0.340952	-0.06974	0.092987	0.046493	-0.030996	0.240216	0.457186	0.263463	-0.21697	-0.06974	-0.340952	0.240216	0.023247	0.441688	0	0.015498	-0.26
YAL002W	0	0	0	-0.336166	0.133307	-0.133307	0.046368	-0.359349	0.318778	-0.185471	0.017388	-0.324574	0.27241	-0.086939	0.284002	0	0.133307	-0.284002	0.191267	0.104327	0.376737	-0.168083	0	0
YAL003W	-0.253347	-0.150639	-0.109556	0.027389	0.362903	-0.171181	0.054778	-0.164333	0.253347	-0.150639	0.109556	-0.143792	0.020542	0.020542	0.328667	0	0.150639	-0.041083	0.054778	0.383445	0.328667	-0.32182	-0.308125	-0.41
YAL004W	0	0	0	-0.313135	-0.006263	-0.250508	-0.012525	-0.371587	0.029226	-0.235895	-0.027138	-0.265121	-0.056364	-0.196231	0.029226	0	0.217107	0.100203	0.404988	0.338186	0.361149	0.254683	0	0
YAL005C	-0.071994	-0.222678	-0.256163	-0.256163	-0.061948	-0.276254	-0.118873	-0.256163	-0.016743	-0.192541	-0.055251	-0.192541	-0.031811	-0.140639	0.087062	0	0.197564	0.147336	0.301368	0.375036	0.391779	0.239421	0.212632	1.18
YAL007C	0	0	0	0.086946	0.360207	0.155262	0.018631	-0.621046	0	-0.254629	0.062105	0.086946	0.248418	0.124209	0.149051	0	0.161472	-0.242208	0.26705	-0.161472	-0.204945	-0.229787	0	0
YAL008W	-0.103769	0.020754	-0.140088	-0.207538	0.228292	-0.378757	0.015565	-0.358003	0.285365	-0.274988	0.051885	-0.103769	0.150465	-0.077827	0.311307	0	0.036319	-0.160842	0.155654	0.259423	0.425453	-0.041508	-0.06745	-0.04
YAL009W	0	-0.012618	0	0.044162	0.088325	0.107252	0.145105	0.11987	-0.063089	0	-0.132487	0.006309	-0.082016	-0.870632	0.100943	0.031545	0.182959	0.025236	0.246048	-0.132487	0.182959	0	0	0.03
YAL010C	-0.12844	-0.03211	-0.058868	-0.133791	0.214066	-0.278286	0.101681	-0.165901	0.337154	-0.165901	0.080275	-0.144495	0.267583	-0.074923	0.246176	0	0.069571	-0.299692	0.101681	0.379967	0.39067	-0.214066	-0.214066	-0.52
YAL011W	0	0	0	-0.264227	-0.082001	0.018223	0.264227	-0.473786	0.018223	-0.136669	0.054668	-0.154891	0.464674	-0.182225	0.227782	0	-0.127558	-0.200448	0.209559	0.209559	0.328005	-0.173114	0	0
